ticker,name,sector,industry,price,market_cap,eps0,eps1,eps2,eg1,eg2,pe1,pe2,peg1,peg2,pe_implausible,sector_pe1,sector_eg1,sector_pe1_mean
VST,Vistra Corp.,Utilities,Electric Utilities,146.11000061035156,49039658546.305466,6.19,7.693995983935743,9.563420710956274,0.2429718875502007,0.24297188755020072,18.990132164796282,15.278006168123666,0.781577340336244,0.6287972786550072,False,22.02248481825099,-0.002881844380403428,27.042817602825924
VSTS,Vestis,Industrials,Diversified Support Services,13.40999984741211,1772266987.8839684,0.04,0.04,,0.0,,335.24999618530273,,,,True,26.16367280461197,0.1419973073572504,33.292022761598915
VSXY,Victoria's Secret,Consumer Discretionary,Apparel Retail,84.0999984741211,6685253530.705261,0.28,0.28,,0.0,,300.3571374075753,,,,True,17.12461478795241,0.09201273225257235,23.63279043999208
VTOL,Bristow Group Inc.,Energy,Oil & Gas Equipment & Services,46.150001525878906,1367978345.2301023,3.93,5.047352941176471,6.482384659746253,0.2843137254901961,0.28431372549019623,9.143406863701898,7.119293893874759,0.3215956896888253,0.25040275075007756,False,18.15927134438993,0.0,31.84763181292061
VTR,Ventas,Real Estate,Health Care REITs,91.16999816894533,46765318610.79717,0.54,0.81,1.215,0.5,0.5,112.55555329499423,75.03703552999615,2.2511110658998845,1.5007407105999229,False,24.37544947652672,0.18871373771277855,37.44019231073693
VTRS,Viatris,Health Care,Pharmaceuticals,16.229999542236328,18641629196.93683,-0.06,-0.06,,0.0,,,,,,False,26.111110051472984,0.13106796116504843,35.670037593695405
VVV,Valvoline,Consumer Discretionary,Automotive Retail,33.79999923706055,4312420831.059288,1.04,0.6476646706586827,0.4033360823263653,-0.37724550898203585,-0.3772455089820359,52.1874988220147,83.80107983919669,,,False,17.12461478795241,0.09201273225257235,23.63279043999208
VVX,"V2X, Inc.",Industrials,Aerospace & Defense,82.6500015258789,2590693886.5292206,2.88,4.32,6.48,0.5000000000000001,0.5,19.13194479765715,12.754629865104768,0.38263889595314293,0.2550925973020954,False,26.16367280461197,0.1419973073572504,33.292022761598915
VYX,NCR Voyix,Information Technology,IT Consulting & Other Services,7.699999809265137,1063138188.2652568,-0.26,-0.13,-0.065,0.5,0.5,,,,,False,32.824054964173854,0.16017875776961116,46.8792043447928
VZ,Verizon,Communication Services,Integrated Telecommunication Services,48.060001373291016,199678501913.83545,4.47,4.861532846715328,5.2873605413181295,0.08759124087591227,0.0875912408759123,9.88577119370129,9.08960170159112,1.1286255446142324,1.0377295275983207,False,16.09388154288399,0.09932629665828746,22.61772188630623
